patient_id,first_name,last_name,gender,birthdate,age,race,ethnicity,address,city,state,zip,country,marital_status,language,insurance,ssn,smoking_status,alcohol_use,education,employment_status,income,housing_status
b9350934-1d56-4a03-847a-70d3869536df,Danielle,Johnson,male,1984-08-02,41,White,Not Hispanic or Latino,32181 Johnson Course Apt. 389,New Jamesside,MT,29394,US,Never Married,Spanish,Medicaid,460-76-4558,Former,Occasional,None,Employed,194393,Stable
35e080a7-ee58-4005-8d1c-332f41570d1d,Lisa,Smith,male,1984-08-02,41,Black,Not Hispanic or Latino,654 Jason Track,Curtisfurt,CT,47553,US,Widowed,Chinese,Private,868-45-9892,Never,Never,Master,Retired,147127,Stable
b0a9ec64-0de0-4d49-be94-65392897a14a,Joseph,Williams,male,1996-07-30,29,White,Hispanic or Latino,161 Calderon River Suite 931,Lake Jeremyport,CO,31013,US,Never Married,German,Private,888-13-6228,Current,Occasional,None,Student,26793,Stable
5df16a72-a793-47d1-8a1d-87a1478dbdf1,Joshua,Reid,male,1920-08-18,105,Asian,Not Hispanic or Latino,55341 Amanda Gardens Apt. 764,Lake Mark,WI,07832,US,Widowed,Chinese,Uninsured,235-05-5169,Never,Never,Bachelor,Employed,94800,Stable
96fad2fb-8ee4-4ba0-bd33-bbc18359f7d9,Richard,Jones,male,1973-08-05,52,White,Not Hispanic or Latino,76724 John Points Suite 969,Coxberg,NY,65187,US,Married,French,Uninsured,094-97-0772,Never,Heavy,Master,Student,42638,Stable
0e1c98eb-cce2-4dfe-8b9d-ddecaf8396a5,Michelle,Hernandez,male,1986-08-02,39,Black,Hispanic or Latino,691 James Mountain,Tashatown,TX,94967,US,Never Married,Spanish,Private,118-88-8798,Current,Regular,Bachelor,Employed,180397,Stable
990adc2d-a1fd-4bc7-baa2-4d1aeb19a450,Karen,Mack,female,1991-08-01,34,Black,Hispanic or Latino,46270 Stanton Track Apt. 814,East Nathaniel,GA,71198,US,Separated,French,Private,798-68-0010,Never,Never,Doctorate,Unemployed,103712,Stable
c3e2fde1-a8c7-4ab9-94fa-98d274691f0b,Carol,Burns,male,2002-07-29,23,Asian,Hispanic or Latino,4303 Christopher Oval,Port Amandaberg,DC,86975,US,Widowed,German,Uninsured,487-71-2706,Current,Never,High School,Student,133569,Stable
990718eb-8e61-48e5-b889-b115356e5024,Joseph,Brennan,male,1967-08-07,58,White,Not Hispanic or Latino,83465 Lam Mission Apt. 331,Andrewside,IN,77629,US,Widowed,English,Private,226-01-1164,Current,Regular,Doctorate,Employed,3009,Stable
3422f77d-efa6-4020-a7ee-00e4b0cd0d4d,Jean,Brown,male,1911-08-21,114,White,Not Hispanic or Latino,51834 Lewis Curve,Sanchezfort,AS,53855,US,Separated,German,Medicare,195-13-1589,Former,Regular,Master,Employed,46832,Stable
